id,评分,评论,时间
童山安德烈公爵,5分 超棒,九寨沟的名气之大不用多说，向往已久。我是冬天去的，那会路不大好走，一路颠簸，念叨着“世之瑰怪常在险远处“”来自我安慰。到了后真没让人失望，九寨沟的水蓝得出奇，绿的耀眼，这种感觉我只在西藏看到过。冬天那里比较冷，但空气非常好，然后民宿也多，喜欢独处的人可以冬天去那找个民宿呆一呆。,2021-08-09
09****775,5分 超棒,九寨沟是中国第一个以保护自然风景为主要目的的自然保护区，同时，也是中国唯一拥有“世界自然遗产”和“世界生物圈保护区”两顶桂冠的圣地，因其独有的原始景观，丰富的动植物资源被誉为“人间仙境”。九寨沟为全国重点风景名胜区和全国文明风景旅游区示范点，并被列入世界遗产名录。,2021-07-25
浮夸是一种态度丶,5分 超棒,很不错，第4次来了，每次都都有新的体会和感受，不一样的美。,2022-04-25
M22****7245,5分 超棒,非常不错，还会再来,2022-02-09
pu****lo,4分 满意,九寨沟虽然交通不便，但真的很美，一年四季给你不一样的感受,2022-05-26
300****416,4分 满意,景色秀丽超级累,2022-06-18
M14****629,4分 满意,一般一般一般,2022-06-05
焘择,4分 满意,自然风光很不错，是可以称得上一绝，来这里看水天下无水,2022-05-28
观察人生,5分 超棒,来了三次，下次准备国庆节过来看下，每个季节的景色不同,2022-05-17
M29****9203,5分 超棒,雪景不错哦,2022-05-02
M19****954,4分 满意,以前来过，这次带家人和朋友来，景色还是很好，就是疫情，观光车一直坐同一台车，景点规定时间，,2022-03-11
M14****086,5分 超棒,九寨沟归来不看水，原来不信，看过之后真的信了，池中的水静止仿佛是假的，清澈见底！太好看了了,2022-02-22
小野寺律.,5分 超棒,还是不错的,2022-01-04
chocosa,5分 超棒,春节前去到九寨沟，很有点惊艳。深冬里，水的色彩蓝得更纯粹、绿得更艳丽，周遭更加沉静安然，所有都静下来了，宁静旷远。 驻足或是徜徉，皆宁静围绕，喧嚣已然被屏蔽在外了，真好！,2021-02-21
修过,5分 超棒,九寨沟由树正沟 日则沟和则查洼沟三条沟组成 ，九寨归来不见水 这里的风景确实是非常的美 值得来,2022-01-06
M26****680,5分 超棒,下雨去的九寨沟，烟雨朦胧的，有点江南水乡的味道，下次一定要找个晴天去，再好好欣赏一番,2022-01-04
坡心岭司令,4分 满意,确实是风景秀丽，想我祖国山河壮丽，美哉！身在华夏之地，简直是太兴奋，太幸福，东南西北中哪里都是风景，哪里都好看，祖国加油！,2022-05-16
眼中有美,5分 超棒,第一次是在上世纪九十年代，坐着汽车历经艰险到九寨，被人间仙境所震憾；三十多年后乘着飞机又到九寨，灾后的她美丽依在，彩林、翠海、叠瀑、雪峰……让人流连往返；相约来年冬季再到九寨，看看银装素裹的童话世界！,2021-10-27
Margaret 飞起来了,5分 超棒,九寨沟真的值得来。提前在网上定的门票，太火爆了，只订到了接送都有的门票。结果呢，太火爆，司机不来接，就自己坐车去。有点欺骗!携程应该处理哈这个! 好在这边安排了接驳车。到了景点坐统一的巴士上去，每个景点都有车可以接送，很方便。主要走了最精华的几个景点。都用了一天时间吧。 真的推荐来!确实九寨归来不看水。美腻! 【景色】,2021-10-03
生活与思考,5分 超棒,入口处，有点仰望苍穹的感觉。 成千上万的孩子正在孕育、正在出生，这些河流、天空、大地是应该属于他们的，我们没有权利只知消费、不知克制，我们没有权利只知抱怨、不知建设，我们有责任向他们证明，一个被能源照亮的世界，同时可以是洁净和美好的。 每次在夜空中，看到这颗星球孤独旋转，我心中都会有一种难以名状的依恋和亲切，将来有一天我会离开这个世界，但是我的孩子还在其中生活，这个世界就与我有关。所以我才凝视它，就像我凝视你，所以我才守护它，就像我在守护你。,2021-09-19
懒袜子哥哥,5分 超棒,九寨沟景区，在携程买的套票直接排队刷身份证可以进景区，人很多排队上观光车，先去左边的长海景点，阳光水雾，蓝天白云，蓝色的海子，彩色的森林，顺路游玩五色池，再坐车去右边的五花海景区，然后一路游玩到诺日朗瀑布，然后继续游览树正瀑布等，一路游玩四点半到沟口。九寨沟美景不用多说，已经是第三次来游玩了，只是可惜这次去的有点早，红叶层次还没有出现，每次去看都会有惊喜。,2021-03-16
60岁极省自由行,5分 超棒,九寨沟的珍珠滩瀑布是电视剧《西游记》片尾中，唐僧师徒牵马涉水的地方。瀑布高21米，宽162米，珍珠滩瀑布景色非常别致。水流开始从一高40余米的悬崖上跌落下去，形成著名的珍珠滩瀑布。珍珠滩瀑布在平面上呈一个弧形，向上游凹进。,2021-02-20
一曲几多愁,5分 超棒,人间仙境，九寨沟！ 位于四川省阿坝州的九寨沟，典型的卡斯特地貌。 九寨归来不看水！,2022-03-27
莽夫666,3分 不错,景区管理得加强，特别是交通车排队问题。,2022-01-04
M34****682,3分 不错,说好的川渝优惠活动，提供了居住证明、租房合同，小区物业居住证明，却不给优惠，,2022-06-25
LX红梅花儿,5分 超棒,景色宜人，景区内的各项设施很人性化！,2022-05-19
排队吃果,5分 超棒,景色不错的，可以疫情凭借48小时核酸,2022-05-17
M30****6599,5分 超棒,果然是名不虚传，三天时间去了九寨沟、黄龙和牟尼沟，各有特色。冬天的九寨沟也很美，黄龙的钙化池大都被冰雪覆盖，观感大受影响，最后去的牟尼沟，扎嘎瀑布令人惊喜。,2022-02-17
好风暖云☁️,5分 超棒,一定要早上第一班游览车进去，真的可以进入仙境般的世界哟！,2022-01-23
观察人生,5分 超棒,带这次就来过三次了，以后还会来的，,2022-05-17
侯宪磊1368806****,4分 满意,冬天去 慢慢走 多待几天 安安静静地生活,2022-01-05
LX红梅花儿,5分 超棒,有机会还会来，体验不同季节的风景,2022-05-19
马老乐,5分 超棒,太美了，5月的九寨沟，依旧很美！,2022-05-10
追梦人1831,4分 满意,卡斯特地貌，地理位置优越交通便利,2022-04-19
M31****0967,5分 超棒,不虚此行！美！大美！人间仙景！,2022-05-14
Minime911,5分 超棒,景色真不错四季皆宜，管理也很好,2022-05-07
一叶轻舟Richard,5分 超棒,九寨归来不看水，九寨的水非常漂亮，值得来打卡哦。,2022-03-22
300****132,5分 超棒,九寨沟就是风景美如画，一路上都是风景，推荐给大家，有时间去看看！！！,2022-01-01
_WeCh****498726,5分 超棒,景色很美车上导游也特别专业,2022-05-18
M51****220,5分 超棒,第二次去，还好，陪朋友去的,2022-05-11
江苏耀发,5分 超棒,愿你生活有惊喜，喜欢有回应,2022-04-09
M13****213,5分 超棒,一年四季，不同时间不同的风景，永远让人难以忘记,2022-02-10
丁丁海水,5分 超棒,四川的九寨沟风景区很漂亮，水特别美，一年四季都可以去看不同的颜色。,2022-02-09
206****678,5分 超棒,现在有点缺水，小小遗憾。,2022-05-09
300****337,5分 超棒,货真价实，比黄龙好太多。,2022-04-25
seaman0611,5分 超棒,淡季出行舒服，完全不需要排队，方便，景色很美。无需取票刷证入园。,2022-03-07
普通铅笔,5分 超棒,很好很方便，下次在出游,2022-05-13
206****678,5分 超棒,漂亮，据说秋天最漂亮。,2022-05-09
大学教授,5分 超棒,质价相符。很好的体验！,2022-04-16
M37****4602,5分 超棒,非常喜欢…长海17KM栈道希望有一天能去跑一次…哈哈哈哈哈哈哈,2022-01-10
M43****6718,5分 超棒,***,2022-05-19
M23****3067,5分 超棒,景区很美，服务也很好,2022-05-17
LX红梅花儿,5分 超棒,景色真美，有机会再来,2022-05-02
我是锦鲤本鲤@,5分 超棒,位置很好找，虽然是周末来的，但🅿️停车位还挺多的，非常方便,2022-01-13
粉红色的猴,5分 超棒,九寨沟是中国第一个以保护自然风景为主要目的的自然保护区。有树正寨、则查洼寨、黑角寨、荷叶寨、盘亚寨、亚拉寨、尖盘寨、热西寨、郭都寨，这九个寨子的藏民世代居住于此，故名为“九寨沟”。,2021-09-05
QXD1217,5分 超棒,太漂亮了哈哈哈😄,2022-05-18
寻梦者a,5分 超棒,非常不错，值得一来,2022-05-12
M17****376,5分 超棒,太美了，不虚此行！,2022-04-30
虎子妹妹,5分 超棒,真的是九寨归来不看水，人间天堂童话世界,2022-03-02
QXD1217,5分 超棒,太漂亮啦！好👌,2022-05-18
星不离岳,5分 超棒,很不错，以后再来,2022-05-18
特工洋葱头,5分 超棒,不错，很美的地方,2022-04-23
110****821,5分 超棒,好好好，好好好,2022-05-02
mythjet,5分 超棒,非常方便 出票快,2022-04-12
尼古拉斯刘永福,5分 超棒,九寨沟yyds,2022-03-31
涌动的人潮拥挤,5分 超棒,很不错的景点,2022-05-14
用心倾听1,5分 超棒,值得故地重游,2022-05-06
IllusionalDance,5分 超棒,九寨沟真心美,2022-05-03
IllusionalDance,5分 超棒,九寨沟真心美,2022-05-03
不说了，走吧,5分 超棒,不错，九寨归来不看水，九寨沟的水是别的地方模仿不来的,2022-03-24
兰花花棋棋,5分 超棒,入园很方便，景色太美了，虽然天气不怎么好，但自然风光还是很神奇，五月份还能看见雪山，很巴适！。有点高原反应，不剧烈运动还是没得问题。,2022-02-05
兰花花棋棋,5分 超棒,入园很方便，景色太美了，虽然天气不怎么好，但自然风光还是很神奇，五月份还能看见雪山，很巴适！。有点高原反应，不剧烈运动还是没得问题。,2022-02-05
灵魂舞动,5分 超棒,红红火火哈,2022-05-17
排队吃果,5分 超棒,可以的景色,2022-05-17
M28****819,5分 超棒,很好很爽很,2022-05-03
小白,5分 超棒,风景很漂亮,2022-04-30
二童丶,5分 超棒,景色优美！,2022-04-26
D15****13,5分 超棒,相当不错。,2022-04-17
D15****13,5分 超棒,比较方便。,2022-04-17
_WeCh****56780,5分 超棒,Good!,2022-04-13
_CFT01****6615834,5分 超棒,【景色】人间天堂 【趣味】人间天堂 【性价比】非常值得,2022-03-17
璨愔,5分 超棒,人间仙境，几年前就计划去的地方，疫情期间格外后悔,2022-03-04
Ochean,5分 超棒,beautiful place,2022-02-27
Angela💫Dong,5分 超棒,不错的选择啊哈哈哈哈，景色宜人，推荐一下给大家哦,2021-12-31
遇見gf,5分 超棒,美丽的童话世界。。。一年四季不同的景色。。。。,2022-03-25
润进鹏,5分 超棒,九寨沟四季都很美，但感觉秋季的景致更独特一些。,2022-03-09
润进鹏,5分 超棒,九寨沟一年四季都很美，不过旺季的时候人太多了。,2022-02-16
风中的云117,5分 超棒,九寨沟的水真是太美了，10中下旬去全是彩林。,2022-03-23
靝丞,5分 超棒,川西风景如画，九寨沟更是川西之最，值得一去…,2022-02-14
粉色云宝,5分 超棒,携程购票很方便，现场也得在携程上购买。淡季的九寨沟人很少，观光车不能随上随下，是包车制。记得带上吃的，冬天沟里的餐厅没有开。,2022-02-02
粉色云宝,5分 超棒,携程购票很方便，现场也得在携程上购买。淡季的九寨沟人很少，观光车不能随上随下，是包车制。记得带上吃的，冬天沟里的餐厅没有开。,2022-02-02
小黑白白的天才,5分 超棒,风景秀丽，但管理还需加强。给游客更多的自由。,2022-01-05
成都双流万科第五城,3分 不错,看海子，看多了，就那样了，城里是看不到的。,2022-06-17
Tele177,5分 超棒,风景如画，值得游玩，一年四季都有不同的景色,2022-03-30
cici9090,5分 超棒,九寨沟真是太美了，水碧蓝碧蓝，宛如仙境一般,2022-01-31
江南福儿,5分 超棒,九寨沟的自然风光堪称一绝，无法形容它的美。,2022-01-03
袍哥人家绝不拉稀摆带,5分 超棒,非常不错的景点，非常美丽，四季景色都有不同,2021-12-31
M13****213,5分 超棒,一年四季不同的景色，永远都是那么的吸引人,2022-03-30
afly32,5分 超棒,最近肯定很少游客，大家要做好防护再去哦。,2022-03-20
jx****hui,4分 满意,很美的冬季九寨沟！大赞！就是观光车以旅行团形式的安排不太喜欢。而且门口售票处的工作人员也对业务不太熟悉，咨询了一下二次进沟的购票问题，说那第一天的门票只能在他们的渠道购买，让把携程买的票退了。后来咨询了携程核实是不影响的。,2022-01-29
世外陶院,5分 超棒,九寨归来不看水，九寨沟的水是世界上最美的,2022-01-26
xxkkai,5分 超棒,【景色】太美了 【趣味】好玩 【性价比】超值,2022-01-20
y5202,5分 超棒,九寨沟风景区风景如画，进入景区如进仙境。,2022-01-17
大雄猫,5分 超棒,好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,2022-01-03
放飞自我去游玩,5分 超棒,如果先到长海，游览完长海和五彩池后，直接坐车到原始森林，然后就按景区内的车，看完一个景点上车到下一个景点，一路玩到诺日朗中心站，如果先到的是原始森林，那在诺日朗中心站再坐车去长海，先后顺序没有关系。整个景区只有在诺日朗中心站有餐厅，如果有用餐需求的，请在这里用餐，我们是自备干粮，就当野营。最后，从诺日朗瀑布开始往景区大门走，也是景点+景区车模式。当然如果体力好，可以选择徒步，特别在远离公路的那边的栈道，往往风景更美。这里往往游客很少，想拍照没有和你抢。当然徒步请把握好汽车站点和时间。,2021-12-20
走遍天下XZ,5分 超棒,从珍珠滩瀑布一路走下来，会经过一块巨石，上面用黑色的字体刻着“88石”，这就是在2017年8月8日大地震中，从山顶滚落的那块著名的“88”石，树木都被压倒了，背后的山坡上留下了长长的、深深的痕迹。 这条溪边小路，夏天天热的时候走上一走，那种沁入心肺的清爽，瞬间令人由内而外地干净了！,2021-10-13
D40****53,5分 超棒,值得来 ，来赶上下雨天 没想到意外收获仙境一样的景色，现在刚入秋都觉得美了 不敢想像10月下旬会美成什么样，明年带家人来。这次来人流比较少 体验感挺好的 估计人流大的时候的体验感就没那么好了,2021-09-24
奇峰云海,5分 超棒,九寨沟具体怎么美就不点评了，因为很多人点评了，我不在千篇一律了，说说交通和其他的吧。旺季门票169+车票90，包括景区大门票和景区内的交通车。70岁以上老人免票，儿童半价，但是车票都要买原价的，就是90元。景区内各个景点都有交通车，都不再收费。步行栈道一般也都不超过1公里。极少部分人可能高原反应，因为是长海在海拔2900米的地方。景区成Y字形，左边是长海，和五彩池，右面是五花海。具体先去那边，根据景区安排。去左边，景区交通会把游客拉到最高处的长海，然后步行到五彩池乘车，回到诺日朗中转站，再乘车去右面的五花海，然后再走到珍珠滩瀑布，再乘景区交通往下走。世界物质文化遗产5A景区的服务还是不错的，卫生间很干净。 如果自驾游的话，5.1期间交通管制，私家车都停在景区附近的临时停车场了，一天30元。然后乘免费摆渡车到景区入口，网络票刷身份证进入景区，也可以走路，大概2公里虽然游客很多，景区还是安排的很合理。景区里面的交通车也很多，全是宇通或者金龙的公交车。基本上不需要等待。 住宿：可以住在县城，离九寨沟县城40公里，宾馆价格还算合理。也可以住在沟口，就是景区入口附近。 九寨沟全程游览6-8小时,2021-05-04
_WeCh****01868,4分 满意,九寨沟闻名中外，作为四川人我还没去过。上周专门请假去玩了一趟，说说我的感想吧！ 第一，都说到九寨沟是看水的，九寨沟的水确实很美！几个景点都很有特色，五花海、五彩池，就是大家常在网上看到的绿色水，然后最顶上的长海很壮观，很神奇，天气很好太阳很大但是湖面却结了冰，四周被雪山环抱，简直棒！然后那个什么瀑布我忘了，就是拍摄西游记的地方，芦苇海在阳光下也很漂亮，如果没记错应该也是06版神雕侠侣的取景地！静海倒影雪山也很美丽。 第二就是想吐槽一下景区，景色漂亮归漂亮，但是景区管理非常让人想吐槽，首先我去的是淡季，景区说是执行淡季门票，便宜一点，但是说白了就是阉割了一些景点游玩项目，有很多地方都封了，说是森林防火、但是湖边的栈道也不让你去，就给你开放一小块区域，本来人不算多，但是就全部挤在一小块仅开放的地方拍照。 而且，景区本来有很多个景点，完全可以分散游客，但是旅游大巴很死板，把所有人都拉到一个地方，导致所有人的游览路线都是一样的，就造成了拥挤现象。 再次就是，乘坐景区摆渡车本来就在旁边，但是非要封路，让你从购物中心里面绕一大圈上楼梯下楼梯去乘坐，传统的购物环节。 第三，由于我是非节假日去的，所以景区游客基本都是大爷大妈。说到这一点，我想说的是不是嫌弃大爷大妈，但是有个别素质真的太低，乘车的时候真的就是个个方世玉，我女朋友直接被挤上车，而且他们从来不排队，拍照的时候直接过来把我衣服一拉：“喂，你让一下！我照个相！”呵呵，真的素质极低。 第四，就是我们是自驾去的，真的太难开了，一路全是弯道和货车，大巴车，真不建议自驾去！ 最后总结一下，总体来说九寨沟的水确实是一绝，但是综合体验也没想象中那么好，也许是淡季的原因吧，还有就是上一次的地震可能也还是损坏了一些。,2021-04-01
境无界,5分 超棒,如果有人间仙境，如果有童话世界，九寨沟肯定就是这样的地方。 以前来都是限人流，排队等等。新冠疫情影响，这里冷清了很多。 不平凡的2020年快要结束了，希望明年祖国繁荣富强，新冠肺炎结束。让人民正常流动，让旅游业尽快正常。,2020-12-31
vivian豹豹,5分 超棒,记得上次去九寨沟还是11年11月，很冷但是景色让人印象深刻！这次赶在国庆长假前重温旧地，地震后的九寨沟变化还是挺大的，路线和风景和之前有点不同了～物是人非，自己也是个60岁以上的退休老年人，平日只需购买游览车票就行了，哈哈！ 趁着自己走得动，多欣赏欣赏中国的大好河山！,2020-09-27
136****6822,5分 超棒,疫情过后人都颓废了，就想找个环境优美的地方放松一下，就来到了向往已久的人间瑶池九寨沟，因受疫情影响九寨沟的确比往常客流少了很多，可惜的是震前最完美的样子没有看到，不过听导游说现在已经恢复了八九十了，它那沁人心脾的美很难用语言来形容，最经典的若日朗瀑布，珍珠滩瀑布以及五花海让人百看不厌，犀牛海，长海，树正瀑布也是别有风味。在这里也要特别表扬一下我们团里的导游，一位火辣辣的川妹子人称小辣椒，人美嗓门大还很负责任，各种细节都替我们想到了，还有司机师傅邓师傅人很热情善良，远远的就帮我们拿行李，还把自己的外套借给老人穿，总之这趟九黄之旅非常开心满意,2020-07-23
天地大无边,5分 超棒,最近也就是9月27日，九寨沟风景区将要重新开放！可以说，这是一个特大的喜讯！ 九寨沟的水，五彩斑斓，晶莹剔透！九寨沟的山葱葱郁郁，石灰岩的山顶如白雪覆盖。特别是秋天的九寨沟，在蓝天白云的映照下，简直就是神仙的世界！人间真正的天堂！ 九寨沟位于四川和甘肃交界的地方，因山沟里面住着藏族的九个山寨而得名。这里的山水别有风情，这里是藏族同胞的世代居住的世外桃源。要不上个世纪80年代被伐木工人偶尔发现，这块绝世的美景，不知什么时候才能被我们欣赏到，享受到！ 有两条线路可以进到九寨沟，一条从甘肃的陇南坐车进入，这条线游客相对少一些。一条从成都坐飞机或者坐大巴进入这条线人多比较拥挤。 带上你的心，带上你的眼晴，带上你的爱人和孩子，带上你的相机，来九寨沟吧！ 9月27日，九寨沟80[%]左右的景区要重新开放了！地震对九寨沟景区造成了很大的破坏，经过几年的整修，最近就要对游人开放！ 估计今年这个十一长假，九寨沟景区如果不限制每天5000人的接待规模，会被世界各地慕名而来的游客挤爆了！,2019-09-24
DongR_,5分 超棒,景色很美，很值得一去，海拨高度还可以。,2022-03-06
小虫子与欣欣,5分 超棒,大名鼎鼎的景区啊，可惜现在很少人去呢。,2022-02-17
yyuan451401,4分 满意,值得去，毕竟名气在那。地震后的景色比以前逊色些，但比以前方便安全舒适了许多。,2022-04-09
_f4512****12106,5分 超棒,知道了知道了这是挺好玩的样子你都有啦,2022-03-20
杜娆,5分 超棒,大地震之前去的，现在应该还是一样美吧,2022-03-13
110****480,5分 超棒,一年四季景色都很美，深秋的景色最美。,2022-01-10
186****9099,5分 超棒,十月九寨的树叶基本都黄了，景色绝美！需要提前一天预约门票，景区内没有餐厅，只有简单的餐食。如果时间允许，可以考虑两天游玩景区内的三条线路，因为人太多，各个观景台都是人。值得去！,2021-10-28
遇见值得怀念,5分 超棒,四川九寨沟，真的太美了，要来转一下,2022-03-27
好梦梦梦,5分 超棒,四川阿坝九寨沟风景区，真是太棒了。,2022-03-02
sl****ei,5分 超棒,风景确实非常的赞，值得多去几次的。,2022-02-27
卷东风,5分 超棒,看山要去黄山，看水就一定是九寨沟。,2022-02-17
👉凸👇凹👆凸👈,5分 超棒,人间天堂，去了不后悔，值得去看看。,2022-01-11
成都分公司周,5分 超棒,红叶与海子相映，美轮美奂，无与伦比,2022-01-10
马户行天下,5分 超棒,风景如画，环境独特，性价比将就！,2022-03-23
M13****213,5分 超棒,一年四季，美景如画，令你流连忘返,2022-03-21
M33****853,5分 超棒,风景太漂亮了，值得去的地方。赞！,2022-02-16
M33****853,5分 超棒,风景太漂亮了，值得推荐的的地方。,2022-01-01
铛铛铛铛铛铛o,5分 超棒,人有点多，景色很好，下次还来的呀,2022-01-01
超级Bad Boy,5分 超棒,九寨沟：世界自然遗产、国家重点风景名胜区、国家AAAAA级旅游景区、国家级自然保护区、国家地质公园、世界生物圈保护区网络，是中国第一个以保护自然风景为主要目的的自然保护区。,2021-08-31
不可思忆,5分 超棒,九寨归来不看水，真是名不虚传！,2022-03-12
袍哥人家绝不拉稀摆带,5分 超棒,非常不错的景点 犹如人间仙境一般,2022-03-11
jinmyfran,5分 超棒,好，好好，非常好，特别的好啊！,2022-02-28
drexlercy,5分 超棒,很美的自然景观，一生必去景点。,2022-02-24
M33****853,5分 超棒,风景太漂亮了，值得推荐的地方。,2022-02-03
北加邑人,5分 超棒,风景优美，水太美了，空气清新！,2022-01-10
ia****b,5分 超棒,。。。。。。很不错。。。。。。,2021-12-31
tsdttt,5分 超棒,风景自然好 但是门票价格也是高,2022-02-03
塞哥维亚乐进,5分 超棒,淡季去性价比很高 非常值得一去,2022-01-22
JJ77,5分 超棒,人间仙境，童话世界，神仙的后花园。所有的语言用来赞美九寨沟都不为过。,2022-01-05
拉齐奥2012,4分 满意,冬季有一半的步道没有开放。,2022-02-07
老鹰在飞翔,5分 超棒,九寨沟的得名来自于景区内九个藏族寨子（树正寨、则查洼寨、黑角寨、荷叶寨、盘亚寨、亚拉寨、尖盘寨、热西寨、郭都寨）这九个寨子又称为“和药九寨”。,2021-10-28
苦海无边，望不到岸,5分 超棒,刚刚，九寨沟全域，重新开放！ 她 是世界自然遗产 国家重点风景名胜区 国家5A级旅游景区 国家级自然保护区 她是 人间仙境 童话世界 九寨沟,2021-09-30
IvanFC,5分 超棒,因沟内有九个寨子而得名。蓝天、白云、雪山、森林、尽融于瀑、河、滩、缀成一串串宛若从天而降的珍珠；篝火、烤羊、锅庄和古老而美丽的传说，展现出藏羌人热情强悍的民族风情。九寨沟，一个五彩斑谰、绚丽奇绝的瑶池玉盆，一个原始古朴、神奇梦幻的人间仙境，一个不见纤尘、自然纯净的“童话世界”!她以神妙奇幻的翠海、飞瀑、彩林、雪峰等无法尽览的自然与人文景观，成为全国唯一拥有“世界自然遗产”和“世界生物圈保护区”两顶桂冠的圣地,2021-12-14
博士小美女,5分 超棒,九寨沟位于四川省西北部岷山山脉南段的阿坝藏族羌族自治州九寨沟县漳扎镇境内，地处岷山南段弓杆岭的东北侧。距离成都市400多千米，系长江水系嘉陵江上游白水江源头的一条大支沟。 九寨沟自然保护区地势南高北低，山谷深切，高差悬殊。北缘九寨沟口海拔仅2000米，中部峰岭均在4000米以上，南缘达4500米以上，主沟长30多公里。,2021-09-01
盈锦,5分 超棒,从成都自驾直九寨沟，400公里不到的路程开了近9个小时，幸好早点七点半就出发了。一路基本上是国道，汶川那一段路不好走，交通管制很多，过了汶川路就好了，风景美的让人震撼。选择住在景区大门最近的酒店，周边吃饭和购物很方便，有KFC。因为地震，九寨沟原始森林部分未开通，景区里有大巴（买的含大巴的票），按着大巴的路线安排就好。不过无需全程坐大巴，有些景点跟景点之间离的很近，步行还能看看沿途的风景。早上七点半入园，下午三点不到机会出来了，想着赶路，往西安方向，到晚上九点半才到广元市，一路都是山路，比去的路更难走。九寨沟的风景还是不错的，静态的湖、壮丽的瀑布、川流不息的河流，值得～,2021-07-10
blue****ure,5分 超棒,冬天的九寨依旧美丽,2022-02-23
M49****8104,5分 超棒,搭公交车像旅游一样,2022-02-05
Zhou,5分 超棒,景色优美，,2022-02-04
如烟如雾,5分 超棒,九寨沟风景区，是四川旅游比较出名的一个景区，也是慕名而来，里面的海子和瀑布很多，各有各的特点，各有各的不同，在里面逛一天简直是眼睛的天堂，太美了。,2021-08-01
小小,5分 超棒,景点很美，环境很好，适合旅游景点很美，环境很好，适合旅游景点很美，环境很好，适合旅游,2022-01-21
gz当地向导伊妹儿,5分 超棒,九寨沟风景区人间天堂，太美太漂亮，美得不像话，就像一幅幅天然的水彩画卷，不枉此行，累并快乐着，性价比超高的，不错的选择。,2021-10-21
_M15****1530,5分 超棒,九寨还是建议秋天去更美，特别是十月底的时候，去之前看抖音上说五彩池不好看，还好我们去的时候水装满了，特别漂亮，海拔也不高，很适合小孩和老年人，一天时间完全不够，建议早一点进景区，每个景点逗留时间不要太长，原始森林不建议去，太远了，比较耽搁时间，我们先去的左边沟，右边沟的景点更多，也比较密集。住宿选择沟口的，远了堵车也耽搁时间。景区就只有诺日朗有餐厅。,2021-10-06
札达法庆,5分 超棒,九寨沟景区真的是人间天堂，是世界上任何风景都无法代替的地方。即来之则安之，多住几天慢慢品味！此次进了三次沟里，每一次的感受都是不同的，第一次进沟，细雨绵绵，撑伞慢行，雨中的山水是那么温暖，如同行走在水墨画中。二次进沟，蓝天白云，天空如洗，树木翠绿，珍珠滩瀑布美的让你忘记自我。奔腾不息的孔雀河，发出海兰宝石般的光泽，陶醉其中！三次进沟，蓝天无云晴空万里，高山流水，让你的想象空间变得越来越宽阔！九寨的水是那么多彩的蓝，如同调色盘一般，所有的蓝它都包括，所有的绿它都拥有。,2021-09-11
freeman8605,5分 超棒,第二次来九寨，与20年前相比有很大的变化！景美的是不可言表。在这里对与我一样自驾出行的人建议： 1、景区门口停车8:00后就不要想着有停车位了。还是从宾馆打车去吧，更方便！ 2、上午都是旅行社团队，人多、乱，照相取景和游玩感受不好。如果条件允许，错峰出行，早上晚点去。我是11:00进景区，先去长海，景点人也不少。2:00回中转站，吃了点东西，3:00左右奔五花海，上车就我们三口，跟包车一样。之后游临的景点所到之处人不超二十人，玩得那叫一个爽！,2021-07-27
M49****506,5分 超棒,向往的九寨我来了，实景太美了！国家对景区管理和物品定价制度规范，门票价格稍微贵一点259元，比以前三百多倒是便宜了70多块钱吧！但是大自然是属于人民百姓的遗产，随之保护维修费用相比下应该便宜一点，并且九黄机场机票超级贵，我们选择飞到了成都，租车一路按照自驾游书里的地图路线走的，很美！,2021-07-26
M22****3633,5分 超棒,一人独自驾车来到九寨，真的太漂亮了，所有的疲惫在进入景区后被映入眼帘的美景彻底忘得烟消云散了。震后都这么美，以前真不敢想象有多漂亮。九寨沟真的是为数不多的值得一年四季都来一次的景区。划重点：看水就来九寨沟！！！,2021-07-15
王一博y1bo,4分 满意,去过一次，风景不错，就是位置太偏僻了，不建议单独出行。,2022-03-19
300****651,5分 超棒,风景很好，名副其实的九寨归来不看水,2022-01-09
130****1300,5分 超棒,一直向往的九寨天堂，终于在10.1出发了，多年前就渴望看他的美。不过人很多,2022-01-03
139****4642,5分 超棒,淡季二次进景区优惠政策在携程无法享用，有点坑，希望在这方面能够有所改进,2021-12-31
YANWEI9885,5分 超棒,九寨归来不看水，这真是一句大实话。到了九寨才知道原来水可以这样的美。有跌宕起伏，气势磅礴的瀑布，有静如处子般的海子，有各种色彩融为一体的宝石。令人窒息,2021-10-11
_WeCh****459109,5分 超棒,人间绝色九寨沟，真的太美了，去的时候是阴天，但五彩池景色仍然很能打,2022-02-27
春波荡漾,5分 超棒,都不用特别的去吹了，美丽景色摆在那儿的，你爱去不去！反正我去2次了,2022-02-09
老鹰在飞翔,5分 超棒,九寨沟自然保护区地势南高北低，山谷深切，高差悬殊。北缘九寨沟口海拔仅2000米，中部峰岭均在4000米以上，南缘达4500米以上，主沟长30多公里,2021-10-27
alex的小窝188,4分 满意,秋天的九寨沟最值得一去，水清澈无比，山上还有美丽秋色，太漂亮了,2022-03-28
Ken Sir🔆,3分 不错,关于60岁和60岁以上门票应该显示更加清晰，当时购票时由于60岁以上购买通道折叠就没有找到，所以没有在APP购买60+的票，应该更新让显示更加清晰明了，建议也有系统自动指引相关链接。,2022-02-16
